Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric",135.300000,-128.320000,270.000000,bottom
"C2","10uF/6V3","CP_EIA-1608-08_AVX-J",138.500000,-128.500000,270.000000,bottom
"C3","4.7nF","C_0805_2012Metric",134.700000,-107.600000,90.000000,bottom
"C4","0.1uF","C_0805_2012Metric",148.600000,-133.565000,270.000000,bottom
"C5","22uF","CP_EIA-3216-18_Kemet-A",150.900000,-132.945000,270.000000,bottom
"C6","10uF/6V3","CP_EIA-1608-08_AVX-J",148.600000,-128.300000,90.000000,bottom
"C7","0.1uF","C_0805_2012Metric",167.900000,-96.100000,180.000000,bottom
"C8","0.1uF","C_0805_2012Metric",171.800000,-87.300000,180.000000,bottom
"C9","0.1uF","C_0805_2012Metric",149.300000,-75.800000,90.000000,bottom
"C10","0.1uF","C_0805_2012Metric",158.400000,-76.600000,0.000000,bottom
"C11","22uF","CP_EIA-3216-18_Kemet-A",154.100000,-74.200000,180.000000,bottom
"C12","0.1uF","C_0805_2012Metric",158.400000,-74.200000,0.000000,bottom
"C13","4.7uF","CP_EIA-1608-08_AVX-J",147.200000,-75.600000,90.000000,bottom
"D184","Blue","LED_0805_2012Metric_Castellated",136.500000,-120.950000,180.000000,bottom
"D185","Blue","LED_0805_2012Metric_Castellated",136.500000,-124.750000,180.000000,bottom
"D186","PRTR5V0U2X","SOT-143",143.800000,-112.100000,90.000000,bottom
"F1","6V/500mA","Fuse_1206_3216Metric",145.600000,-107.000000,180.000000,bottom
"Q1","MMBT3904","SOT-23",171.700000,-91.650000,0.000000,bottom
"Q2","MMBT3904","SOT-23",167.800000,-91.600000,0.000000,bottom
"R1","2K","R_0805_2012Metric",149.450000,-117.137500,270.000000,bottom
"R2","1K","R_0805_2012Metric",143.500000,-123.700000,90.000000,bottom
"R3","1K","R_0805_2012Metric",146.900000,-123.700000,90.000000,bottom
"R4","22K","R_0805_2012Metric",140.500000,-123.700000,270.000000,bottom
"R5","22.1K","R_0805_2012Metric",147.400000,-111.800000,90.000000,bottom
"R6","1M","R_0805_2012Metric",134.700000,-103.900000,90.000000,bottom
"R7","47.5K","R_0805_2012Metric",147.400000,-117.150000,90.000000,bottom
"R8","620","R_0805_2012Metric",153.500000,-76.600000,180.000000,bottom
"R9","150","R_0805_2012Metric",147.600000,-101.850000,0.000000,bottom
"R10","150","R_0805_2012Metric",151.200000,-101.850000,0.000000,bottom
"R11","10K","R_0805_2012Metric",171.700000,-96.100000,180.000000,bottom
"R12","10K","R_0805_2012Metric",167.800000,-87.300000,0.000000,bottom
"SW1","BOOT","SW_SPST_B3U-1000P",141.400000,-104.200000,0.000000,bottom
"SW2","RESET","SW_SPST_B3U-1000P",141.400000,-70.400000,0.000000,bottom
"U1","CP2102N-A02-GQFN24","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",143.100000,-118.600000,270.000000,bottom
"U2","AZ1117-3.3","SOT-223-3_TabPin2",143.500000,-131.500000,270.000000,bottom
"U3","ESP32-WROOM-32","ESP32-WROOM-32",155.000000,-87.600000,270.000000,bottom
