Ref,Val,Package,PosX,PosY,Rot,Side
"D1","WS2812B_2020","WS2812B2020",190.250000,-86.350000,0.000000,top
"D2","WS2812B_2020","WS2812B2020",195.050000,-86.350000,0.000000,top
"D3","WS2812B_2020","WS2812B2020",185.450000,-89.600000,0.000000,top
"D4","WS2812B_2020","WS2812B2020",190.250000,-89.600000,0.000000,top
"D5","WS2812B_2020","WS2812B2020",195.050000,-89.600000,0.000000,top
"D6","WS2812B_2020","WS2812B2020",199.400000,-89.600000,0.000000,top
"D7","WS2812B_2020","WS2812B2020",180.700000,-92.950000,0.000000,top
"D8","WS2812B_2020","WS2812B2020",185.450000,-92.950000,0.000000,top
"D9","WS2812B_2020","WS2812B2020",190.250000,-92.950000,0.000000,top
"D10","WS2812B_2020","WS2812B2020",195.050000,-92.950000,0.000000,top
"D11","WS2812B_2020","WS2812B2020",199.400000,-92.950000,0.000000,top
"D12","WS2812B_2020","WS2812B2020",203.800000,-92.950000,0.000000,top
"D13","WS2812B_2020","WS2812B2020",176.100000,-96.300000,0.000000,top
"D14","WS2812B_2020","WS2812B2020",180.700000,-96.300000,0.000000,top
"D15","WS2812B_2020","WS2812B2020",185.450000,-96.300000,0.000000,top
"D16","WS2812B_2020","WS2812B2020",190.250000,-96.300000,0.000000,top
"D17","WS2812B_2020","WS2812B2020",195.050000,-96.300000,0.000000,top
"D18","WS2812B_2020","WS2812B2020",199.400000,-96.300000,0.000000,top
"D19","WS2812B_2020","WS2812B2020",203.800000,-96.300000,0.000000,top
"D20","WS2812B_2020","WS2812B2020",208.400000,-96.300000,0.000000,top
"D21","WS2812B_2020","WS2812B2020",162.450000,-99.700000,0.000000,top
"D22","WS2812B_2020","WS2812B2020",166.950000,-99.700000,0.000000,top
"D23","WS2812B_2020","WS2812B2020",171.600000,-99.700000,0.000000,top
"D24","WS2812B_2020","WS2812B2020",176.100000,-99.700000,0.000000,top
"D25","WS2812B_2020","WS2812B2020",180.700000,-99.700000,0.000000,top
